district,year,district_population,green_ratio,temperature,wind_speed,humidity,avg_temperature_3h
영등포구,2023,397800,3.361560081466395,25.923578811369506,1.197642118863049,68.31267651888342,25.924202196382428
영등포구,2024,397173,3.364395112016293,26.886724806201553,1.2239987080103358,66.17280361757106,26.8853003875969
영등포구,2025,395248,3.2858696537678207,26.54486434108527,1.2870801033591732,66.87713178294574,26.543346253229974
용산구,2021,237285,1.6357521719250114,25.166101141924962,1.928942245295263,65.40520833333333,25.169290617848972
용산구,2022,233284,1.6212528577960676,24.97050947093403,2.175735056542811,68.9703811369509,24.969094771241828
용산구,2023,227106,1.7052949245541835,25.70236475542598,1.9217700258397934,69.8389211886305,25.70286223662885
용산구,2024,217194,1.613273891175126,26.605975452196386,2.1432170542635656,68.0468669250646,26.604618863049094
용산구,2025,214984,1.6143895747599453,26.393992248062016,2.147157622739018,66.89341085271317,26.392655038759692
은평구,2021,477173,1.3805553685627736,22.791297314784856,1.0024844720496895,,22.788617675623176
은평구,2022,470602,1.3805553685627736,22.98210904342148,1.1017156054107555,71.67281553398058,22.98487087283426
은평구,2023,470869,1.4690138000673174,23.509320388349515,1.0152399481193255,79.45980582524271,23.508374352331607
은평구,2024,465350,1.3798586334567486,24.529102067183466,1.099806138933764,71.97541989664083,24.527428940568473
은평구,2025,459586,1.4046516324469875,24.249757673667204,1.0239341085271318,72.44644702842378,24.24637568703524
종로구,2021,153789,0.9368632371392722,23.095950761256884,1.9665262475696694,71.80198083067093,23.09173095623987
종로구,2022,152211,0.9554621497281472,22.89421834625323,2.1592245557350567,75.21741518578352,22.893210594315246
종로구,2023,150453,0.9554621497281472,23.6281007751938,1.8864891198441052,76.60348837209303,23.628898578811373
종로구,2024,149608,0.9559514847344208,24.62206072351421,1.8938953488372092,75.86595607235142,24.62035206718346
종로구,2025,148813,0.9386407360936846,24.40391459074733,1.7663106796116503,76.22995794241345,24.40240530916154
중구,2021,131787,2.2247891566265063,23.095950761256884,1.9665262475696694,71.80198083067093,23.09173095623987
중구,2022,130785,2.231696787148594,22.89421834625323,2.1592245557350567,75.21741518578352,22.893210594315246
중구,2023,131793,2.3868072289156625,23.6281007751938,1.8864891198441052,76.60348837209303,23.628898578811373
중구,2024,131214,2.221877510040161,24.62206072351421,1.8938953488372092,75.86595607235142,24.62035206718346
중구,2025,128444,2.1705522088353413,24.40391459074733,1.7663106796116503,76.22995794241345,24.40240530916154
중랑구,2021,391885,2.919102702702703,24.835278858625163,2.0391953277092796,65.48918918918919,24.83222871994802
중랑구,2022,390140,2.918778378378378,24.866342412451363,2.0649253731343284,64.82052529182879,24.86493831168831
중랑구,2023,387470,2.9208486486486485,25.443959948320412,1.9892118863049097,67.59160206718346,25.444615633074935
중랑구,2024,385349,2.9200702702702706,26.430953150242328,2.1406138933764134,65.36038772213247,26.4280213385063
중랑구,2025,383764,3.018854054054054,26.1313408723748,2.0837156704361877,65.54390953150242,26.125677335919818
